N,max_iter,workers,chunk_rows,chunk_cols,time_s
1024,200,2,64,64,1.4466709857806563
1024,200,2,128,128,1.3920325711369514
1024,200,2,256,256,1.454012009780854
1024,200,2,512,512,1.7745012771338224
2048,200,2,64,64,5.118804628029466
2048,200,2,128,128,2.8375449790619314
2048,200,2,256,256,3.234655613079667
2048,200,2,512,512,5.442523946985602
4096,200,2,64,64,19.153996927198023
4096,200,2,128,128,10.036008934956044
4096,200,2,256,256,8.55233281198889
4096,200,2,512,512,13.372161975130439
