N,numpy_time_s,mp_best_time_s,mp_best_P,mp_best_chunk,mp_speedup_vs_numpy,dask_local_best_time_s,dask_local_best_workers,dask_local_best_chunk,dask_local_speedup_vs_numpy,dask_cluster_best_time_s,dask_cluster_best_workers,dask_cluster_best_chunk,dask_cluster_speedup_vs_numpy
1024,3.2654133471660316,1.7244260162115097,1.0,64.0,1.8936233369640323,5.026168080046773,1.0,256.0,0.6496824808006906,1.3920325711369514,2.0,128.0,2.3457880331772585
2048,13.192670424003154,6.590750160161406,1.0,32.0,2.0016948152196483,11.545525890775025,1.0,128.0,1.142665180331388,2.8375449790619314,2.0,128.0,4.649325568881217
4096,62.50489766104147,25.11551292706281,1.0,16.0,2.4886968401784197,30.04709827899933,1.0,256.0,2.080230745766479,8.55233281198889,2.0,256.0,7.308520264017371
